property_type,bedRoom,bathroom,balcony,agePossession,sector,built_up_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,3.0,3,3.0,1.0,94.0,1643.0,0,0,0,608.3333333333334,2.0,0.0,1.65
0.0,3.0,3,1.0,3.0,92.0,1337.0,0,0,0,492.6666666666667,2.0,1.0,0.88
0.0,2.0,2,2.0,1.0,83.0,1489.0,0,0,0,666.5,2.0,2.0,1.0
0.0,4.0,4,3.0,3.0,67.0,2650.0,1,0,2,700.0,1.0,0.0,3.75
0.0,5.0,5,2.0,2.0,24.0,2556.0,0,1,1,460.0,2.0,1.0,1.7
0.0,3.0,4,2.0,1.0,14.0,2003.0,0,0,0,667.6666666666666,2.0,2.0,2.9
0.0,3.0,4,3.0,1.0,92.0,2167.0,0,0,0,802.6666666666666,1.0,2.0,1.65
0.0,2.0,3,3.0,3.0,104.0,1611.0,1,0,0,725.0,1.0,2.0,0.95
1.0,2.0,2,2.0,2.0,76.0,1440.0,0,0,0,720.0,1.0,1.0,2.0
1.0,5.0,6,3.0,3.0,15.0,4500.0,1,1,0,937.4,2.0,2.0,12.5
0.0,2.0,2,2.0,3.0,53.0,1108.0,0,0,2,498.5,1.0,2.0,1.05
1.0,3.0,3,4.0,2.0,62.0,2160.0,1,1,2,720.0,1.0,1.0,4.6
1.0,5.0,5,2.0,3.0,34.0,1783.0,1,0,0,356.6,1.0,2.0,7.0
0.0,3.0,4,4.0,1.0,85.0,1935.0,1,0,0,716.6666666666666,1.0,0.0,1.85
0.0,2.0,2,2.0,3.0,10.0,1395.0,0,0,0,775.0,2.0,2.0,1.32
0.0,3.0,3,3.0,3.0,85.0,1176.0,0,1,2,496.6666666666667,2.0,0.0,1.3
0.0,3.0,3,2.0,1.0,14.0,1711.0,0,0,0,570.3333333333334,1.0,0.0,2.6
0.0,3.0,3,1.0,3.0,93.0,1737.0,0,0,1,637.6666666666666,2.0,2.0,2.2
0.0,3.0,3,2.0,4.0,43.0,778.0,0,0,0,233.3333333333333,1.0,1.0,0.5
0.0,2.0,2,3.0,3.0,8.0,1094.0,0,0,0,607.5,1.0,2.0,1.28
1.0,5.0,4,3.0,2.0,16.0,1850.0,0,1,0,280.0,1.0,1.0,2.5
1.0,4.0,3,2.0,3.0,34.0,1800.0,0,1,0,450.0,1.0,1.0,5.8
0.0,3.0,2,3.0,2.0,63.0,1750.0,1,0,2,550.0,2.0,2.0,1.39
0.0,3.0,3,3.0,3.0,77.0,1600.0,1,0,0,658.6666666666666,1.0,2.0,1.55
0.0,2.0,2,4.0,3.0,81.0,1300.0,0,0,0,562.0,2.0,0.0,1.55
0.0,2.0,2,2.0,1.0,68.0,1278.0,0,0,0,575.0,1.0,2.0,1.58
0.0,3.0,4,4.0,3.0,60.0,2500.0,1,0,2,965.0,1.0,2.0,5.0
0.0,2.0,2,4.0,3.0,81.0,1200.0,0,0,0,712.0,2.0,0.0,1.54
1.0,5.0,6,4.0,1.0,72.0,3240.0,1,1,2,648.0,0.0,1.0,11.0
