society,property_type,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,sector,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
dlf express greens,flat,1.2,6504.0,3.0,4,2,5.0,Relatively New,T50764478,sector 1a,1661.0,0,1,0,0,1,0,43,615.0
bhim garh kheri,house,1.5,7576.0,7.0,2,0,1.0,Moderately Old,,sector 3,1980.0,0,0,0,0,0,0,0,282.85714285714283
raheja vedaanta,flat,1.0,4854.0,2.0,2,2,0.0,Relatively New,L70031164,sector 108,2060.0,0,0,0,0,0,0,0,1030.0
rwa sector 46,house,4.5,24390.0,6.0,6,3+,3.0,Moderately Old,,sector 46,1845.0,0,0,1,0,0,2,80,307.5
tulip violet,flat,1.5,10714.0,3.0,3,2,8.0,Relatively New,M68587622,sector 69,1488.0,0,0,0,1,0,2,174,466.6666666666667
smart world orchard,flat,1.7,15179.0,2.0,2,2,4.0,Under Construction,I66957408,sector 61,1244.0,1,0,0,0,0,0,127,560.0
independent,house,10.55,32562.0,5.0,5,3,2.0,Moderately Old,,sector 50,3240.0,1,1,0,0,0,0,42,648.0
vatika seven elements,flat,1.6,8163.0,3.0,3,3,5.0,New Property,L61578164,sector 89,1764.0,0,0,0,0,0,0,58,653.3333333333334
m3m woodshire,flat,0.9,5867.0,2.0,2,3,8.0,Relatively New,C57468912,sector 107,1277.0,1,0,0,0,0,2,74,767.0
paras dews,flat,1.05,7581.0,2.0,2,2,5.0,New Property,V68755796,sector 106,1539.0,0,0,0,0,0,0,97,692.5
ireo victory valley,flat,3.05,16267.0,3.0,4,2,35.0,Relatively New,K69604018,sector 67,2200.0,1,1,0,0,0,2,165,625.0
dlf the ultima,flat,2.26,10762.0,3.0,4,3+,17.0,New Property,V69310050,sector 81,1890.0,0,1,0,0,0,1,174,700.0
vipul tatvam villa,house,7.69,24069.0,4.0,5,3,2.0,Moderately Old,,sector 48,3195.0,1,1,1,1,0,2,110,798.75
satya element one,flat,0.8,11111.0,1.0,1,1,0.0,Moderately Old,I65933202,sector 49,720.0,0,0,0,0,0,0,0,720.0
ss the leaf,flat,2.1,7468.0,4.0,5,3+,9.0,Relatively New,G69201450,sector 85,2531.0,0,0,0,0,0,2,67,703.0
conscient elevate,flat,6.75,19882.0,4.0,4,2,10.0,New Property,P69838342,sector 59,2558.0,0,1,0,0,0,0,31,848.75
railway officers rpf society,flat,1.25,6921.0,4.0,3,3,1.0,Old Property,O69463302,sector 9,2007.0,0,1,0,0,0,0,40,451.5
ss the leaf,flat,1.2,7317.0,2.0,2,3+,14.0,Relatively New,F69963546,sector 85,1376.0,0,0,1,0,0,0,141,820.0
tarc maceo,flat,1.8,7759.0,3.0,3,3+,0.0,Relatively New,Y70059098,sector 91,2578.0,0,0,0,1,0,1,45,773.3333333333334
irwo westend towers,flat,0.65,12059.0,1.0,1,2,3.0,Old Property,I69344720,sector 47,599.0,0,0,0,0,0,0,56,539.0
ats tourmaline,flat,1.4,8000.0,3.0,3,3+,8.0,Relatively New,R65958512,sector 109,1466.0,0,0,1,0,0,0,119,583.3333333333334
vatika xpressions,flat,0.92,7360.0,2.0,2,2,3.0,Relatively New,Z69531440,sector 88b,1300.0,0,0,0,1,0,0,174,625.0
dlf the ultima,flat,2.35,11175.0,3.0,3,3+,14.0,Relatively New,N70068566,sector 81,1550.0,1,1,0,1,1,1,49,701.0
dlf the ultima,flat,2.2,10461.0,3.0,3,3+,5.0,Relatively New,L69301106,sector 81,1570.0,1,1,0,1,1,1,49,701.0
bptp terra,flat,1.5,8283.0,3.0,3,3,17.0,Relatively New,D70022246,sector 37,1687.0,0,0,0,0,1,0,49,603.6666666666666
