society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
vipul lavanya,flat,0.65,5263.0,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),1235.0,2.0,2,2,14.0,,Moderately Old,B70187326,sector 81,1225.0,,776.0,0,0,0,0,0,0,96,617.5
aipl zen residences,flat,1.25,9905.0,Carpet area: 1262 (117.24 sq.m.),1262.0,2.0,2,3,19.0,,Undefined,U68368438,sector 70,,,1262.0,0,0,0,0,0,0,0,631.0
sare green parc,flat,0.85,6538.0,Built Up area: 1300 (120.77 sq.m.),1300.0,3.0,2,2,20.0,,Undefined,Y68788154,sector 92,,1300.0,,0,0,0,0,0,0,0,433.3333333333333
paras dews,flat,1.14,6000.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),1900.0,3.0,4,3,8.0,South,Relatively New,T70064750,sector 106,1900.0,1305.0,1173.0,1,1,0,0,0,0,49,633.3333333333334
pareena mi casa,flat,1.0,8163.0,Carpet area: 1225 (113.81 sq.m.),1225.0,2.0,2,2,16.0,,New Property,V69551604,sector 68,,,1225.0,0,1,0,0,0,0,65,612.5
shree vardhman victoria,flat,1.1,8462.0,Super Built up area 1300(120.77 sq.m.)Carpet area: 788 sq.ft. (73.21 sq.m.),1300.0,2.0,2,2,0.0,West,New Property,A70028014,sector 70,1300.0,,788.0,1,0,0,0,0,0,49,650.0
aipl club residences,flat,0.85,9140.0,Super Built up area 930(86.4 sq.m.),930.0,2.0,2,2,5.0,South-East,Relatively New,J69964070,sector 70,930.0,,,0,0,0,0,0,2,45,465.0
independent,house,4.25,26235.0,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),1620.0,5.0,5,3+,3.0,North-East,Moderately Old,,sector 31,,200.0,180.0,0,0,1,1,0,2,56,324.0
sukhshanti apartment,flat,1.7,7727.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),2200.0,3.0,3,3,4.0,South,Moderately Old,K69780144,sector 56,,2200.0,1610.0,1,0,0,0,0,0,49,733.3333333333334
independent,house,12.5,40611.0,Plot area 342(285.96 sq.m.),3078.0,6.0,5,3,4.0,East,Moderately Old,,sector 50,,3078.0,,1,1,0,1,0,2,23,513.0
smart world orchard,flat,1.6,13913.0,Carpet area: 1150 (106.84 sq.m.),1150.0,2.0,2,2,4.0,North-East,New Property,U69433708,sector 61,,,1150.0,1,0,0,0,1,0,29,575.0
conscient heritage max,flat,2.5,11633.0,Super Built up area 2149(199.65 sq.m.),2149.0,3.0,4,3+,25.0,North-East,New Property,H58335368,sector 102,2149.0,,,1,1,0,0,0,2,56,716.3333333333334
independent,house,4.0,29630.0,Plot area 150(125.42 sq.m.),1350.0,4.0,4,3,2.0,North,Old Property,,sector 26,,1350.0,,0,0,1,0,0,0,41,337.5
smart world gems,flat,0.88,7978.0,Built Up area: 1103 (102.47 sq.m.),1103.0,2.0,2,0,2.0,,Undefined,J69238068,sector 89,,1103.0,,0,0,0,0,0,0,45,551.5
unitech uniworld resorts,house,9.55,19293.0,Plot area 550(459.87 sq.m.),4950.0,6.0,7,3+,2.0,East,Relatively New,,sector 33,,4950.0,,1,1,1,1,0,2,126,825.0
ireo skyon,flat,3.8,13571.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2791 sq.ft. (259.29 sq.m.)Carpet area: 2768 sq.ft. (257.16 sq.m.),2800.0,4.0,5,3,15.0,East,Moderately Old,S68411868,sector 60,2800.0,2791.0,2768.0,0,1,0,0,0,2,145,700.0
shapoorji pallonji joyville gurugram,flat,1.77,9195.0,Super Built up area 1827(169.73 sq.m.),1925.0,3.0,3,3,1.0,North-East,Relatively New,I68619928,sector 102,1827.0,,,0,0,0,0,0,0,151,641.6666666666666
vatika signature villas,house,3.2,14350.0,Plot area 2160(200.67 sq.m.),2230.0,3.0,4,3,1.0,,New Property,,sector 82,,2160.0,,1,1,1,1,0,0,66,743.3333333333334
zara aavaas,flat,0.4,7030.0,Super Built up area 568.46(52.81 sq.m.),569.0,2.0,2,1,4.0,North,Relatively New,S56426314,sector 104,568.46,,,0,0,0,0,0,0,52,284.5
ats kocoon,flat,2.15,10263.0,Super Built up area 2095(194.63 sq.m.),2095.0,3.0,4,3,9.0,North,Relatively New,Q69510912,sector 109,2095.0,,,0,1,0,0,0,0,97,698.3333333333334
satya the hermitage,flat,0.8,5517.0,Built Up area: 1450 (134.71 sq.m.),1450.0,2.0,2,0,10.0,,Undefined,U69277026,sector 103,,1450.0,,0,0,0,0,0,0,61,725.0
piedmont taksila heights,flat,1.05,4792.0,Super Built up area 1920(178.37 sq.m.),2191.0,3.0,3,3,7.0,,Relatively New,M38858307,sector 37c,1920.0,,,0,0,0,0,0,2,81,730.3333333333334
zara aavaas,flat,0.65,8519.0,Carpet area: 763 (70.89 sq.m.),763.0,3.0,2,2,7.0,,New Property,X69156292,sector 104,,,763.0,0,0,0,0,0,0,65,254.33333333333334
